author,categoria,ciberacoso,texto,Unnamed: 4
miguelsarruf,2.0,1.0,Tu lo único que haces es hablar mir4da y andar con la perra alegre con el poco de machos atrás. Prostituta,
dialex07,1.0,1.0,"callese, No se haga cascar viejo",
19511406,2.0,1.0,"ud es una porqueria que ha llegado a lo más bajo que puede llegar a ser alguien, sos pura basura, mugroso",
_itsmejosem,3.0,1.0,"Usted es mucho lo feo, ahórquese. Auto-tweet.",
"crn9492
",2.0,1.0,De que hablas si a tu madre la tengo al día ?,
difzara87,2.0,1.0,"Deja de hablar pendejadas, imbécil.",
alexgs1153,3.0,1.0,Disfrutamos su ruina gonorrea,
cegomez15,2.0,1.0,"Esa tipa es una inútil e ignorante, una total desgracia.",
artropolistudio,2.0,1.0,Hasta desde colombia da asco esta señora...uy no terrible un ser humano tan mezquino.,
"DianaJa86091701
",4.0,1.0,"Y porqué le dice Doctora? Ahh es que la genocida  tiene Doctorado en Terrorismo, Asesinato y Cinismo.
Esta asesina es la  misma que demandó a la de Rosa Blanca, su víctima, y disque le prohibe q no mancillen su buen nombre. Asi o más especializada en Cinismo?",
kido_rude,4.0,1.0,Jajajaja ahí esta el payaso terrorista el cambio es un circo de dementes y psicópatas,
aguilartista,2.0,1.0,"Yo no soy idiota como tú, vieja fea y pendeja.",
CasandraAnam,4.0,1.0,"Usted don paraco debería estar calladito... No tiene respaldo moral,social ni siquiera humano,para opinar sobre las acciones del Pdte. Petro.",
EDWINHASSAN,2.0,1.0,De verdad que de alguna forma la vida nos debería quitar este karma tan malparido con usted,
JORGE_OsFo,4.0,1.0,"Una ESCORIA, LACRA DELINCUENTE",
AlejoAriasAl,2.0,1.0,jajaja señor deje de ser tan idiota. Aprenda a leer ud.,
"MiguelPoloP
",4.0,1.0,"Guerrillero 
@petrogustavo
, ya el país sabe que la coherencia no es lo suyo pero si aún le queda algo de vergüenza, le solicito que renuncie a su cargo como presidente de Colombia. Las prácticas (chuzadas) que critico en el pasado, hoy hacen parte de su administración.",
"Jessilsd
",2.0,1.0,"Sapa hijueputa casi se lo come con la mirada, ofrecida, regalada.",
kardaylr,2.0,1.0,SE ADUEÑO DE LA CASA ESTA ZORRA.,
Alli_m05,2.0,1.0, amigo tu saliste un poco bocon,
PETRIIISTAAAAS,4.0,1.0,"La solución no es que salga del gobierno Bebedetti 
 o la “torturadora” 
laurisarabia
 si el Guerrillero exconvito hampón sigue en la presidencia solo se cambiará a los payasos pero no al dueño del circo, ",
Devi97101665,4.0,1.0,Susanna griso eres una hija de la gran puta.,
Caturrro,2.0,1.0,Que cinismo tan doble hijueputa!!!! Pareces cucaracha de panadería,
CristianOrtizR,3.0,1.0,"Suicídese, ¿Ya no se había ido a dormir pues?",
RodriguezMSteff,3.0,1.0,La doble moral me mamá! Suicidese,
tk832,2.0,1.0,Cállese tonta que por personas como ud es q estamos en las q estamos y fuera de eso no son capaz de aceptar q se equivocaron,
Marlonu66843,2.0,1.0,De buena que usted es estupido y retrasado,
"Cristhian_ALo
",4.0,1.0,"Podemos tener muchas diferencias, pero todos estamos de acuerdo en que: Uribe paraco Hpta.",
vendotintos,1.0,1.0,"ya te dí en la jeta una vez, no vaya ser que lo tenga que hacer otra vez",
dianama46158538,4.0,1.0,"Semejante rata este Canciller Leyva, si lo único q le ha hecho al país es daño.",
larylvsyoon,1.0,1.0,Y yo te voy a matar a golpes,
Gonzalo60812330,2.0,1.0,"Que interesante propuesta , nececitamos muchas más de estas , chirrete de mierda ignorante no sabes que decir , es tu único discurso ",
"fabomorcard
",4.0,1.0,Desmovilizarse es la mejor opción!!!Despojadora asesina,
GaiaAzul4,2.0,1.0,ESTA HIJUEPUTA GONORREA NO VALE NI PUTA MIERDA VALE MÁS UN BOLLO PERFUMADO QUE LA JUVINAO,
fincaraizJC,2.0,1.0,Este imbécil a esta hora se le tuerce el teclado,
mmendozamcc,2.0,1.0,La bruja esta mejor que siga volando y alto para que no se estrelle con la realidad,
Gabito413,2.0,1.0,Léelo bien Lameculos,
"FrostKille10211
",4.0,1.0,Este pedofilo mando un video diciendo que queria mata r a su gato,
Santosbarata64,2.0,1.0,Imbécil.,
Juan25872,3.0,1.0,Ahorcate con tu propia argolla y yo después me pegó un tiro.,
AmericaeHispano,2.0,1.0,"O sea este es de los pendejos que llora cuando alguien dice ""monas chinas"" porque el anime es japonés, no chino. Así de imbécil es",
"MrJuangiga
",4.0,1.0,Este gobierno asesina policías,
"soyjaviewr
",2.0,1.0,tu madre me la chupa,
"AntonioCR1974
",4.0,1.0,"y ud Zapateito, investigado  por la participación en masacre paramilitar, admirador de POPEYE, y edecán de traquetos.",
Cadolorido,2.0,1.0,"RENUNCIE VIEJA BRUTA,ANALFABETA",
JuhliBC,4.0,1.0,hahaha disque católico el mamarracho este. Seguramente violá niños o algo así.,
"Amantissim20993
",4.0,1.0,"Usted representa a la izquierda digna de Colombia. No la izquierda retrógrada, criminal y asesina de 
petrogustavo",
Rasputin_6402,4.0,1.0,Se destapa públicamente la Banda criminal que ha Operado en Colombia dejada por el Gobierno anterior. Barbosa encubre Criminales.?,
MaryOlivo16,2.0,1.0,Que se puede esperar de este petardo,
juanchoh1985,3.0,1.0,suicidate perro hijo de puta!!!!  Igual nada se pierde.,
HELMITOSANTO,2.0,1.0,"Se dice ""interceptación ilegal"". Chuzadas son las que le pegan a usted mamarracho desteñido. 🤡",
Alonzo_Jarris,2.0,1.0,Este payaso hoy se metió todo el bazuco qué pudo.,
PalacioMateo7,3.0,1.0,Donde esta pues el diablo pa que se lleve a ese triplehijueputa juez de mierda morite gran hijueputa,
YearobYes,2.0,1.0,"Y este solo demuestra lo estúpido que es usted jajajajja, definitivamente estos no ven más allá, de lo que ve esta negra analfabeta y oportunista",
"PedroLasprilla
",4.0,1.0,"Inaudito es tener qué comprar tierras posiblemente robadas por clan Lafaurie, Uribe con paramilitarismo.",
donovan_theylor,1.0,1.0,Por bocón. Es que los Matan. ,
DUARVEDUQUE,2.0,1.0,"Con ese hijueputa apellido q se le puede pedir de cordura y razonamiento, nacieron escasos de cerebro por eso son uribistas",
JpLuxx,4.0,1.0,Oh vida bandida,
Richard_cazador,2.0,1.0,Alguien que vaya  a ver al deforme..no se le haya torcido el otro lado de la cara del coraje !!,
moreanney ,2.0,1.0,Malas energías las de esa perra,
Jugut01,2.0,1.0,SOS UN HIJO DE PUTA ARRODILLADO DE MIERDA,
barrilete1880,2.0,1.0,UD PUEDE SER MUY ZORRO PERO SIGUE SIENDO EL MISMO IMBECIL.,
Miguel_Clavijo,2.0,1.0,"Esta negra da es risa, ignorante mamarracho",
MONITA9498,2.0,1.0,Que más podemos esperar de tanta escoria,
wilsonvalenciar,2.0,1.0,"Vieja asquerosa y podrida, incendiaria, soba sacos y lame culos… para hacer lo que hace es porque su vida es una auténtica mierda… burra de arrastre",
"Zussy_1D
",1.0,1.0,Acabas de arriesgar la vida de tu madre y la de tu familia,
lucagel7,2.0,1.0,"Payaso, bocón e inepto.",
"LiVittola
",2.0,1.0,"No le hagan caso, es un bobo hp con 68 seguidores que paga verificación en twitter. 🤣",
Fcomorales8011,4.0,1.0,"¿Quiénes están mamados del gobierno del politiquero y guerrillero 
@petrogustavo
? Sígueme y te sigo. LAS DE DERECHA SOMOS MÁS. Defendamos Colombia 🇨🇴",
"unchasqui
",4.0,1.0,"No hay q buscar mucho para saber q José Linares Cerón es un pedófilo. Aparte de su hija, hay más víctimas. En 1990 violó a una menor q iba a su Iglesia y la embarazó. Nunca respondió a la justicia. Tiene también denuncias de actos contra el pudor.  ¿Cómo es q estaba libre?",
bicicolombi,2.0,1.0,Si su mamá se lo hubiera tragado usted no existiría pero bueno nada que hacer payaso,
jurumo,2.0,1.0,El gobernador del Magdalena es un Mamahuevo Lameculo ,
JuanmaLecter,2.0,1.0,"Retrasado Mental, salga de su burbuja",
diegorrremo,2.0,1.0,"Vean a esta tarada diciéndole “tonta” a una persona que vivió la oscura época del criminal Samper, hay que ser muy imbécil para negar la historia, normal en estos hptas petristas ignorantes y adoctrinados.",
"SinVerguenzasPE
",4.0,1.0,"Flor Gómez estudió en un colegio religioso y a los 15 años fue abusada por su profesor, un seminarista. Después de cada abuso el pederasta pedía que se confiese haciéndole sentir culpable. La rspt. del Obispo ante este hecho fue que como dios es misericordioso, lo perdonaron.",
FarleyRebellon,4.0,1.0,"La gorda corrupta amiguita de sicarios,narcotraficantes y compradora de votos debe tener conocimiento de torcidos desde que dice eso. Da asco esta que tiene que trinar estupideces para comer",
42hugote,4.0,1.0,nefasta loca reloca que sufre de sicopatia multiple. Estas perdida en la droga,
GoezTeresita,4.0,1.0,"Esto si es inaceptable por parte de la bandida corrupta 
@mluciaramirez
 y sus alianzas con alias Memo fantasma el aliado de Pablo Escobar.Sinvergüenza.",
reyunico1,2.0,1.0,"Esa marihuana que se fumó esta vieja estaba rebajada con boñiga, la misma mierda que vomita en el vídeo.",
ivanosky198,4.0,1.0,"El fiscal es un bandido arrinconado , peligroso",
"antologiaverde
",2.0,1.0,Vamos todos a putiar a esa gonorrea vendido sapa hijueputa,
negrosonik1,2.0,1.0,"Cállese, lambón",
emilianorauf,2.0,1.0,Malparido loco…,
EliodarioNueza1,2.0,1.0,Dale el jopo a Alex López travesti cacorro,
Ingeniero_nomas,2.0,1.0,Enano desagradable.…,
linapico25,2.0,1.0,Desadaptada 😡 ridícula 🤦🏽‍♀️ que vergüenza,
will_grisales,2.0,1.0,"sos un asqueroso,  hpta desperdicio.",
FredyAlonso2022,2.0,1.0,Bobo pendejo se va a Autocombatir.,
piperuizpr_,3.0,1.0, suicídese... más aire para respirar jajajaja,
"BaraJohan328984
",4.0,1.0,Ahora lanza el sicario paramilitar de arriba http://Infrasonido.es.poco atentado a nuestra salud ya Lo k nos han hecho con nuestra ropa ya,
MariaVi61033398,2.0,1.0,"Que asco ese mantecoso,mugriento,vende humo,que mama del erario lo mismo que esa sucia de mujer que tiene y después hablan de amor al prójimo, de reconciliación y de paz. Fuera mugroso,sucio,con esos dientes llenos de sarro y esa cabeza grasienta. Asqueroso!",
reneomar6,3.0,1.0,"Arrojese dl balcón una vez x todas, cómo lo prometio, no sea mentiroso hombre grande",
iDragonz_,2.0,1.0,"En serio, desinstala twitter si a la primera que te dicen algo vas a chillar como perra XD",
gabrielito463,2.0,1.0,Ahora vera que se victimiza y dice que lo estan atacando por cacorro,
JulioCe41345269,4.0,1.0,"Oye 
FirulaisOFC
 eres un enfermo de mierda, acosador hijo de puta",
RICARDO61184319,2.0,1.0,"Ese 70 hpta es un error, un aborto",
KeinerLpez1,2.0,1.0,"Claro bruto, retrasado, subnormal si crees la mentira que Cristiano es el que más Champions a ganado. ",
ciruu_marr,1.0,1.0,te voy a encontrar hijo de puta,
alberto13059544,4.0,1.0,"Ni un solo día de paz a la gran RATA, 
EL ARLEQUÍN DE LA MAFIA",
Dieterarq,2.0,1.0,"Menos mal no fuiste vicepresidenta y ya no lo serás ud es lo más asqueroso que pudo haber elegido Rodolfo cómo candidata a dicho cargo, nuevamente ya le pago?",
antimanteco,2.0,1.0,Ya escuchó estos audios? Gran pendejo…,
fincaraizJC,4.0,1.0,"Usted es un bandido igual a 
JorgeIvanOspina
 no sé cómo hacen??",
MiguelPoloP,4.0,1.0,"Adolescentes del SENA a quienes les levantaron sus tutorías para obligarlos a marchar en favor del guerrillero,  niños llevados a las calles por este gobierno para apoyar sus reformas. ",
cesararboleda,2.0,1.0,Este PAYASO no dice nada bueno pero igual nos hace reír mucho,
"willdormdavid
",1.0,1.0,"Así he de ver a tu padre y de paso a la rata imunda de tu madre,no lo dudes",
adri_vieyrahdz,3.0,1.0,Oficialmente ODIO a mi primo ojala te atropellen -.- maldito!,
avique21,2.0,1.0,Analfabeta,
DanSurasshu,2.0,1.0,"Este negro de mierda, si se la pasa chillando, pendejo.",
PilarSoyYo30,3.0,1.0,Muerase usted sola habemos personas que vivimos muy bueno y somos felices .,
Tolima66,4.0,1.0,GUSTAVO BOLIVAR. UD ES UN BANDIDO CORRUPTO. BOGOTA NECESITA UN LIDER NO UN LADRÓN.,
Frank_Matematic,2.0,1.0,Tus palabras se las lleva el viento inútil mentiroso.,
cristyan_lop ,2.0,1.0,Ya cállese bobo…deje de hablar estúpideces y vuélvase serio.,
RiordanDurden,4.0,1.0,"cumpliendo, le encanta mamarmelo y que le frote el gallo como a una puta",
"Juan80007233233
",4.0,1.0,"Este hijueputa fue el mismo que repudiaron en el parlamento Europeo
El mismo que subió a la presidencia con Plata del socio Narco Paramilitar Ñeñe
Y supuestamente no sabia q Ñeñe fue socio de Uribe y Narco Paramilitar de toda la vid",
hernan_gbm,2.0,1.0,Se puede ser tan estúpido en la hp vida? ,
"DvoTachira
·",4.0,1.0, ¡Miércoles de fútbol en el Templo!,
NFGutii,2.0,1.0,"En su mayoría, el promedio uribista es analfabeta, homofobico, Xenofobo y Bobo HP como tu perfil. Insulso Hijueputa",
"DiegoRuizXll
",4.0,1.0,"Ustedes saben leer? El mismo paraco de Uribe, el cual ustedes apoyan estuvo de acuerdo en crear un fondo para evitar los secuestr*s de los ""elenos"". Hay si se hacen los que no saben nada. Ignorantes!",
AndresP1912,2.0,1.0,Sapa HIJUEPUTA,
san_arbol,2.0,1.0,Lameculos cagamisiles vaya q se lo culee un rabino,
DavidGutiRomero,2.0,1.0,Jajajaja siga soñando calvo imbecil 🙊,
mmmmmpc,2.0,1.0,Q chimba ver como le dan varilla por BRUTO! 😂😂😂 digno representante de la izquierda enchimbada. Jajajaja payaso hijueputa,
"Toxic5451
",1.0,1.0,Perra de mierda te voy a matar,
"mejialaalcaldia
",4.0,1.0,"yo aquí solo veo a un misógino, abusador, feminicida en potencia. educación 0, respeto 0, patriarcado ",
LeidyJazminOla1,2.0,1.0,Bien perro la gonorrea esta,
Puntodequiebr15,4.0,1.0,"Vea pues, entonces el presidente y guerrillero se volvio experto en criminalistica? Esta reemplazando a la Fiscalia General de la Nación? A",
"apf1990
",2.0,1.0,"Anda a venderle fotos a toda esa manada de cacorros, travesti de vereda",
Gabito413,2.0,1.0,"Como no, lameculos",
GatoAmargad0,2.0,1.0,Más idiota usted que no entiende que si a un presidente le va mal a ud también gran imbécil,
LuisMaraiano,4.0,1.0,"El criminal de 
GustavoBolivar
 le ponía cita a Diego y su compañero, después se negaba a salir y les echaba la policía,",
Felipe_Mera,2.0,1.0,Ahh pero vaya dígale gorda a esta gorda malparida.,
sararen45586411,2.0,1.0,tras de virolo chismoso como un hpta,
"Lordredondoluis
",4.0,1.0,Y cuanto  recibio la rata de Duque que también viajo,
jorgenitales86,3.0,1.0,Mamita ya es hora de superar el novio de hace como 30 años..... la vida sigue o suicidese,
666luciia,1.0,1.0,"no sé quien habra citado esto en candado pero q sepas q te voy a buscar, te voy a encontrar y te voy a matar",
cesguzman71,3.0,1.0,Morite de hambre,
Rocahontas,3.0,1.0,"Si nada le gusta, si no está feliz con su vida ni conforme con nada, no sufra más!  Péguese Un Tiro y deje de amargar a los demás.",
DiazSebastian_ ,3.0,1.0,Deje de hablar pendejadas muerase inutil,
consuleduc,4.0,1.0,Cuando estés en contra de la castración de infelices piensa en esta rata 🤔,
Darwinalia,3.0,1.0,Asómese a las tasas de desempleo general y juvenil y arrójese por un barranco.,
G1965Laura,1.0,1.0,ENCIMA PROFESORA VOY A PUBLICAR TUS FOTOS EN TODAS LAS REDES NO SE PUEDE TENER UNA PROFESORA ASI UNA VERGUENZA.,
"Alexander291989
",4.0,1.0,"Y asesina a sangre fría, le faltaron varios ítems",
jamie2050,2.0,1.0,"Estás todavía con diarrea por la eliminación de tu narco equipito por parte del cali , que  te veo muy pendiente de lo que digan o hagan en el cali, payaso. Vaya mire si la marrana ya pudo y Preocupese por ese Circo de nazi-onal, no por el cali, vieja bochinchera.",
Reponsky,3.0,1.0,Creo que hay un pensamiento en común de muchos de mis amigos y conocidos y seguramente más gente y es: Uribe morite pues cáncer hijueputa ! No más.,
eltormentotuio,1.0,1.0,Ya tienen identificado a este idiota útil,
lamargaraochoa,2.0,1.0,jajajajaaj no sabe ni escribir la imbécil,
ilipiedadvalle,2.0,1.0,Pues a mi esta deforme me da náuseas,
"LuisMaraiano
",4.0,1.0,"Y éso que no estamos en marchas.
El 20 el paráco narcogobierno del señor 
petrogustavo
, mirará desde su balcón del odio lo que es una verdadera marcha.",
assia_adrian,1.0,1.0,Ubiquen a este malparido y que se la entienda con un hombre pa darle en la cara.. ,
BBTagGa,1.0,1.0,Te voy a matar,
"AngelaDuarteG
",3.0,1.0,"Jamás le había tenido ganas a una perra hpta, muérase piroba",
mvalencia666,1.0,1.0,"te vamos a dar de baja manito, solo espera",
MURDOCK,2.0,1.0,Habla una lamboba soba chaquetas y lameculos,
"peter_ramirezl
",1.0,1.0,A ti también ya te va a llegar tú hora así que prepárate si sigues jodiendo te irá peor ,
SoyRobinR,1.0,1.0,hoy puede q este arriba pero todo lo que sube cae!,
ALEXISoto5202,2.0,1.0,Sos un triple hpta muerto,
colombianowar,2.0,1.0,jaja mediocreeeeeee lameculos ,
mmmmmpc,2.0,1.0,"Este hpta bobo dice que es lider de un MOVIMIENTO SOCIAL, pero es un payaso!",
MaryAco92165707,4.0,1.0,CREO QUE FRANCISCO BARBOSA ES UN BANDIDO.,
hernando2428,2.0,1.0,Lameculos,
luzhatehortua,2.0,1.0,"Que idiota y vos eras el cuidador o qué, imbécil.",
UrbanoOrles,4.0,1.0,PAYASO PEDERASTA!!!,
TiendaTobias,2.0,1.0,"Bocón de mierda, todo un proyecto político en riesgo porque al HP le dió la pataleta por puestos y contratos? Malparido mañoso, torcido.",
Carlosfe04,2.0,1.0," A ""la camila esa"" nadie la quiere.",
SoyGiorgioB,2.0,1.0,No hay mayor racismo que el que cree que toda crítica que se hace en contra de la analfabeta e inepta Francia Márquez es por su color de piel.,
"msl_ang
",2.0,1.0,"ESA MALCAGADA, SE ESTA ES HACIENDO LA MARICA",
adrielopez_,3.0,1.0,Pinche cesar pendejo Ojala Te Atropellen,
"CristianBoca423
",2.0,1.0,"Que va tonto, saliste poeta como el tontorrón inicial o que? ",
lohechopecho,2.0,1.0,Mucho hijo de mil Putas. Sos una escoria de ser humano,
